site,compound,date,value,rolling_means
BQ1,K,1988-01-05T00:00:00Z,0.76,0.7758333333333334
BQ1,K,1988-01-12T00:00:00Z,0.77,0.7792857142857142
BQ1,K,1988-01-19T00:00:00Z,0.75,0.778125
BQ1,K,1988-01-26T00:00:00Z,0.74,0.7861111111111111
BQ1,K,1988-01-29T00:00:00Z,0.86,0.7861111111111111
BQ1,K,1988-02-02T00:00:00Z,0.775,0.7885
BQ1,K,1988-02-03T00:00:00Z,NA,0.7885
BQ1,K,1988-02-04T00:00:00Z,NA,0.7885
BQ1,K,1988-02-09T00:00:00Z,0.8,0.7625
BQ1,K,1988-02-10T00:00:00Z,NA,0.7625
BQ1,K,1988-02-16T00:00:00Z,0.77,0.7555000000000001
BQ1,K,1988-02-23T00:00:00Z,0.85,0.7535000000000001
BQ1,K,1988-03-01T00:00:00Z,0.81,0.7783333333333333
BQ1,K,1988-03-08T00:00:00Z,0.5,0.7833333333333333
BQ1,K,1988-03-15T00:00:00Z,0.7,0.7733333333333333
BQ1,K,1988-03-23T00:00:00Z,0.73,0.7822222222222223
BQ1,K,1988-03-29T00:00:00Z,1.07,0.77
BQ1,K,1988-04-05T00:00:00Z,0.82,0.7633333333333333
BQ1,K,1988-04-12T00:00:00Z,0.71,0.8405555555555555
BQ1,K,1988-04-19T00:00:00Z,0.85,0.858125
BQ1,K,1988-04-26T00:00:00Z,0.74,0.860625
BQ1,K,1988-05-03T00:00:00Z,0.75,0.839375
BQ1,K,1988-05-10T00:00:00Z,1.1949999999999998,0.836875
BQ1,K,1988-05-17T00:00:00Z,NA,0.846875
BQ1,K,1988-05-24T00:00:00Z,0.75,0.841875
BQ1,K,1988-05-31T00:00:00Z,0.9,0.838125
BQ1,K,1988-06-07T00:00:00Z,0.8,0.841875
BQ1,K,1988-06-14T00:00:00Z,0.79,0.7914285714285715
BQ1,K,1988-06-21T00:00:00Z,0.81,0.7877777777777778
BQ1,K,1988-06-28T00:00:00Z,0.71,0.7833333333333333
BQ1,K,1988-07-05T00:00:00Z,0.78,0.7644444444444445
BQ1,K,1988-07-12T00:00:00Z,NA,0.7655555555555555
BQ1,K,1988-07-19T00:00:00Z,0.73,0.7711111111111111
BQ1,K,1988-07-22T00:00:00Z,0.82,0.7711111111111111
